"Name","Access","Description","Author","Team","LastModified","ModifiedBy"
"Connect-KSSocket","Public","Connect a TCP socket to a remote IP address and port.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Disconnect-KSSocket","Public","Disconnect a connected TCP socket.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"New-KSBinaryReader","Public","Create a new extended instance of a System.IO.BinaryReader class from a Byte Array.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"New-KSSocket","Public","Creates a new network socket to use to send and receive packets over a network.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Receive-KSBytes","Public","Receive bytes using a TCP or UDP socket.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Remove-KSSocket","Public","Removes a socket, releasing all resources.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Send-KSBytes","Public","Sends bytes using a TCP or UDP socket.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Test-KSTcpPort","Public","Test a TCP Port using System.Net.Sockets.TcpClient.","Chris Dent","Core Technologies","09/01/2015","Chris Dent"
"Test-KSUdpPort","Public","Attempt to whether a UDP port is listening. Please see the description.","","","",""
