"Name","Access","Description","Author","Team","LastModified","ModifiedBy"
"Export-KSVMOwner","Public","Export virtual machine owner information (custom properties) to an Excel file.","Chris Dent","Core Technologies","01/12/2014","Chris Dent"
"Get-KSClusterSharedVolume","Public","Get cluster shared volumes.","Chris Dent","Core Technologies","23/09/2014","Chris Dent"
"Get-KSVIEntity","Public","Get VI (virtual infrastructure) entities registered for use with this module.","Chris Dent","Core Technologies","23/09/2014","Chris Dent"
"Get-KSVM","Public","Search for a virtual machine across all known platforms.","Chris Dent","Core Technologies","17/11/2014","Chris Dent"
"Get-KSVMDiskUsage","Public","Get the disk space used by a virtual machine managed by a vCenter server.","Chris Dent","Core Technologies","04/09/2014","Chris Dent"
"Get-KSVMSnapshot","Public","Get VM snapshots from SCVMM.","Chris Dent","Core Technologies","30/07/2014","Chris Dent"
"Set-KSVMCustomProperty","Public","Set a custom property on a Virtual Machine managed by SCVMM.","Chris Dent","Core Technologies","31/10/2014","Chris Dent"
"Set-KSVMOwner","Public","Set owner information for a specific virtual machine.","Chris Dent","Core Technologies","31/10/2014","Chris Dent"
"Test-KSESXCredential","Public","Test a set of credentials against an ESX server.","Chris Dent","Core Technologies","03/10/2014","Chris Dent"
