"Name","Access","Description","Author","Team","LastModified","ModifiedBy"
"Add-KSModuleFile","Public","Add a new file to an existing module.","Chris Dent","Core Technologies","13/11/2014","Chris Dent"
"Get-KSModuleManifest","Public","Get an existing module manifest file.","Chris Dent","Core Technologies","19/06/2014","Chris Dent"
"New-KSModule","Public","Create a new module for development.","Chris Dent","Core Technologies","13/11/2014","Chris Dent"
"New-KSModuleDocument","Public","Create a new CSV file describing the functions in a module.","Chris Dent","Core Technologies","19/06/2014","Chris Dent"
"New-KSModuleSPPage","Public","Create a new HTML document suitable for pasting into SharePoint 2007's HTML wiki page editor.","Chris Dent","Core Technologies","04/11/2014","Chris Dent"
"Rename-KSCmdLetIdentifier","Public","Rename owner identifiers in CmdLets.","Chris Dent","Core Technologies","13/01/2015","Chris Dent"
"Set-KSSignature","Public","A wrapper function for Set-AuthenticodeSignature.","Chris Dent","Core Technologies","19/06/2014","Chris Dent"
"Update-KSModuleManifest","Public","Update an existing module manifest file.","Chris Dent","Core Technologies","19/06/2014","Chris Dent"
"Update-KSModuleRelease","Public","Update a release of an existing module.","Chris Dent","Core Technologies","31/10/2014","Chris Dent"
